23.8,27.4,34.4,45.7,55.7,65.6,70.8,69.2,61.3,49.5,39.8,29.2,47.8
3.27,3.43,4.48,4.4,4.04,4.18,3.74,3.58,3.94,4.4,4.47,4.21,48.18
21.2,16.1,14.7,2.4,0,0,0,0,0,0.1,2.4,20.1,72.4

1276,1053,947,580,297,68,7,21,147,482,758,1109,6744
0,0,0,0,9,84,186,149,360,1,0,0,465
